scenario,category,relation,dataset,model,N,M,P,time_before,time_after
si_si2,ChEMBL,Joinable,assays_vertical_1_ac3_ev,bart,12,12,144,175.645,45.37913352482022
si_si2,ChEMBL,Joinable,assays_vertical_1_ac3_ev,bert,12,12,144,166.881,36.60134457139671
si_si2,ChEMBL,Joinable,assays_vertical_1_ac3_ev,distilbert,12,12,144,175.48,38.706454513613124
si_si2,ChEMBL,Joinable,assays_vertical_1_ac3_ev,minilm,12,12,144,43.643,16.26286167728901
si_si2,ChEMBL,Joinable,assays_vertical_1_ac3_ev,roberta,12,12,144,248.746,59.7208238567263
si_si2,ChEMBL,Joinable,assays_vertical_1_ac1_ev,albert,12,12,144,189.295,43.349042417556035
si_si2,ChEMBL,Joinable,assays_vertical_1_ac1_ev,bart,12,12,144,178.856,46.70018594464659
si_si2,ChEMBL,Joinable,assays_vertical_1_ac1_ev,bert,12,12,144,176.64,39.11649499960242
si_si2,ChEMBL,Joinable,assays_vertical_1_ac1_ev,distilbert,12,12,144,177.994,39.08944073790312
si_si2,ChEMBL,Joinable,assays_vertical_1_ac1_ev,minilm,12,12,144,44.64,16.81218436487019
si_si2,ChEMBL,Joinable,assays_vertical_1_ac1_ev,roberta,12,12,144,196.806,47.03044732859732
si_si2,ChEMBL,Joinable,assays_vertical_1_ac5_ev,albert,12,12,144,174.81,38.92414174176753
si_si2,ChEMBL,Joinable,assays_vertical_1_ac5_ev,bart,12,12,144,168.598,42.58524213242532
si_si2,ChEMBL,Joinable,assays_vertical_1_ac5_ev,bert,12,12,144,175.81,39.34299137577415
si_si2,ChEMBL,Joinable,assays_vertical_1_ac5_ev,distilbert,12,12,144,179.641,38.1944378029406
si_si2,ChEMBL,Joinable,assays_vertical_1_ac5_ev,minilm,12,12,144,43.918,16.4495697863698
si_si2,ChEMBL,Joinable,assays_vertical_1_ac5_ev,roberta,12,12,144,214.154,50.79721014657616
si_si2,ChEMBL,Joinable,assays_vertical_30_ac1_ev,albert,12,12,144,240.024,55.322642238602015
si_si2,ChEMBL,Joinable,assays_vertical_30_ac1_ev,bart,12,12,144,228.287,60.30307327163217
si_si2,ChEMBL,Joinable,assays_vertical_30_ac1_ev,bert,12,12,144,252.165,57.9252296732366
si_si2,ChEMBL,Joinable,assays_vertical_30_ac1_ev,distilbert,12,12,144,260.682,59.18369379822913
si_si2,ChEMBL,Joinable,assays_vertical_30_ac1_ev,minilm,12,12,144,58.19,22.32242323696613
si_si2,ChEMBL,Joinable,assays_vertical_30_ac1_ev,roberta,12,12,144,285.193,69.6755480561703
si_si2,ChEMBL,Joinable,assays_vertical_30_ac3_ev,albert,12,12,144,241.382,57.09397352185843
si_si2,ChEMBL,Joinable,assays_vertical_30_ac3_ev,bart,12,12,144,236.46,64.21290754251183
si_si2,ChEMBL,Joinable,assays_vertical_30_ac3_ev,bert,12,12,144,225.914,53.062147849366056
si_si2,ChEMBL,Joinable,assays_vertical_30_ac3_ev,distilbert,12,12,144,230.821,52.16509911185503
si_si2,ChEMBL,Joinable,assays_vertical_30_ac3_ev,minilm,12,12,144,58.097,22.14695107650757
si_si2,ChEMBL,Joinable,assays_vertical_30_ac3_ev,roberta,12,12,144,245.096,59.04402572019396
si_si2,ChEMBL,Joinable,assays_vertical_30_ac5_ev,albert,12,12,144,231.384,54.966409743219614
si_si2,ChEMBL,Joinable,assays_vertical_30_ac5_ev,bart,12,12,144,227.178,61.94879274319112
si_si2,ChEMBL,Joinable,assays_vertical_30_ac5_ev,bert,12,12,144,230.91,53.6604770141095
si_si2,ChEMBL,Joinable,assays_vertical_30_ac5_ev,distilbert,12,12,144,238.99,53.54921581946316
si_si2,ChEMBL,Joinable,assays_vertical_30_ac5_ev,minilm,12,12,144,56.088,21.216392089158294
si_si2,ChEMBL,Joinable,assays_vertical_30_ac5_ev,roberta,12,12,144,280.907,68.92867263813315
si_si2,ChEMBL,Joinable,assays_vertical_50_ac1_ev,albert,12,12,144,298.709,72.51385393851996
si_si2,ChEMBL,Joinable,assays_vertical_50_ac1_ev,bart,12,12,144,330.084,90.38554732242227
si_si2,ChEMBL,Joinable,assays_vertical_50_ac1_ev,bert,12,12,144,327.716,79.46880452147127
